state,station_id,name,name_norm,address,suburb,postcode,lat,lng
NSW,1-GPPT-576,Independent Coomba Park,independent coomba park,"11 Kirribilli Avenue, Coomba Park NSW 2428",COOMBA PARK,2428,-32.236469,152.474101
NSW,1-GPPT-579,Independent Guyra,independent guyra,"2 Lagoon St, Guyra NSW 2365",GUYRA,2365,-30.217096,151.667342
NSW,1-GPPT-58,Hastings Co-op,hastings co-op,"4 High Street, Wauchope NSW 2446",WAUCHOPE,2446,-31.457996,152.735295
NSW,1-GPPT-580,Your Fuel Coniston,your fuel coniston,"136 Gladstone St, Coniston NSW 2500",CONISTON,2500,-34.438605,150.883878
NSW,1-GPPT-581,Beardy Street Servo,beardy street servo,"351 Beardy Street, ARMIDALE NSW 2350",ARMIDALE,2350,-30.5077109,151.6472551
NSW,1-GPPT-582,Mobil The Oaks,mobil the oaks,"1190 Burragorang Rd, The Oaks NSW 2570",THE OAKS,1190,-34.075199,150.537822
NSW,1-GPPT-584,Mobil Silverdale,mobil silverdale,"2320 Silverdale Rd, Silverdale NSW 2752",SILVERDALE,2320,-33.890625,150.618748
NSW,1-GPPT-586,Independent Gunnedah,independent gunnedah,"3 Railway Ave, Gunnedah NSW 2380",GUNNEDAH,2380,-30.977067,150.243826
NSW,1-GPPT-587,Metro Fuel Cremorne,metro fuel cremorne,"51 Spofforth St, CREMORNE NSW 2090",CREMORNE,2090,-33.832753,151.229455
NSW,1-GPPT-588,Budget Kogarah,budget kogarah,"132 Princes Hway, Kogarah NSW 2217",KOGARAH,2217,-33.974841,151.12831
NSW,1-GPPT-589,BP Summer Hill,bp summer hill,"3 Carlton Cres, Summer Hill NSW 2130",SUMMER HILL,2130,-33.892492,151.143151
NSW,1-GPPT-59,Budget Petrol Eastlakes,budget petrol eastlakes,"102 Maloney St, Eastlakes NSW 2018",EASTLAKES,2018,-33.9309968,151.2055689
NSW,1-GPPT-590,BP Bonnyrigg,bp bonnyrigg,"451 Nth Liverpool Rd, Bonnyrigg NSW 2177",BONNYRIGG,2177,-33.894163,150.857838
NSW,1-GPPT-591,BP Horsley Park,bp horsley park,"1642 The Horsley Dr, Horsley Park NSW 2164",HORSLEY PARK,1642,-33.843714,150.863232
NSW,1-GPPT-592,BP Cabramatta West,bp cabramatta west,"90 Joseph St, Cabramatta West NSW 2166",CABRAMATTA WEST,2166,-33.898559,150.92031
NSW,1-GPPT-593,BP North Richmond,bp north richmond,"3 Bells Line Of Road, NORTH RICHMOND NSW 2754",NORTH RICHMOND,2754,-33.582914,150.722427
NSW,1-GPPT-594,BP Gulgong,bp gulgong,"77 Medley St, Gulgong NSW 2852",GULGONG,2852,-32.366754,149.532298
NSW,1-GPPT-599,Ampol Casino,ampol casino,"28-32 Dyraaba St, Casino NSW 2470",CASINO,2470,-28.8549,153.044818
NSW,1-GPPT-601,APCO Albury,apco albury,"997 Mate Street, Albury NSW 2640",ALBURY,2640,-36.057341,146.932141
NSW,1-GPPT-603,Independent Mullumbimby,independent mullumbimby,"2 Argyle Street, Mullumbimby NSW 2482",MULLUMBIMBY,2482,-28.552966,153.503973
NSW,1-GPPT-607,Budget Bexley,budget bexley,"295 FOREST RD, BEXLEY NSW 2207",BEXLEY,2207,-33.9444759,151.1283492
NSW,1-GPPT-608,Budget Oatley,budget oatley,"12B Oatley Parade, Oatley NSW 2223",OATLEY,2223,-33.982328,151.079144
NSW,1-GPPT-61,BP Queanbeyan,bp queanbeyan,"52 Yass Road Queanbeyan, Queanbeyan NSW 2620",QUEANBEYAN,2620,-35.341265,149.244514
NSW,1-GPPT-610,Ampol Roadhouse Tamworth,ampol roadhouse tamworth,"502 Goonoo Goonoo Rd, Hillvue NSW 2340",HILLVUE,2340,-31.1333,150.92323
NSW,1-GPPT-611,Campbells Fuel Service Moree,campbells fuel service moree,"423 Frome St, Moree NSW 2400",MOREE,2400,-29.482235,149.846388
NSW,1-GPPT-612,Aberdare Fuel & Lotto,aberdare fuel & lotto,"68 Aberdare Road, Aberdare NSW 2325",ABERDARE,2325,-32.841209,151.367683
NSW,1-GPPT-613,Metro Fuel Cliftleigh,metro fuel cliftleigh,"80 Main Road, Cliftleigh NSW 2321",CLIFTLEIGH,2321,-32.791759,151.519068
NSW,1-GPPT-618,Westside Adamstown,westside adamstown,"125 Brunker Rd, Adamstown NSW 2289",ADAMSTOWN,2289,-32.929948,151.730252
NSW,1-GPPT-62,Ampol Blayney,ampol blayney,"3 Maria Street, Blayney NSW 2799",BLAYNEY,2799,-33.526097,149.25815
NSW,1-GPPT-623,Budget Petrol St Helens Park,budget petrol st helens park,"24 Wooland Rd, St Helens Park NSW 2560",ST HELENS PARK,2560,-34.097495,150.813573
NSW,1-GPPT-626,Independent Batemans Bay,independent batemans bay,"1 SHARON RD, BATEMANS BAY NSW 2536",BATEMANS BAY,2536,-35.7189985,150.1733949
NSW,1-GPPT-630,BP Yagoona,bp yagoona,"405 Hume Highway, Yagoona NSW 2199",YAGOONA,2199,-33.908972,151.029147
NSW,1-GPPT-631,Independent Kundabung,independent kundabung,"100 Ravenswood Road, Kundabung NSW 2441",KUNDABUNG,2441,-31.188255,152.822153
NSW,1-GPPT-638,Speedway Roselands,speedway roselands,"948-950 Canterbury Rd, Roselands NSW 2196",ROSELANDS,2196,-33.928248,151.078098
NSW,1-GPPT-639,7 Express Carlton,7 express carlton,"370 Railway Parade, Carlton NSW 2216",CARLTON,2216,-33.969142,151.122205
NSW,1-GPPT-64,Ampol Chittaway,ampol chittaway,"100 CHITTAWAY RD, CHITTAWAY BAY NSW 2261",CHITTAWAY BAY,2261,-33.3270755,151.4293546
NSW,1-GPPT-640,Greens Mandurama,greens mandurama,"49-55 Olive St, Mandurama NSW 2792",MANDURAMA,2792,-33.651686,149.072593
NSW,1-GPPT-642,Independent Forbes,independent forbes,"60 Johnson Street, Forbes NSW 2871",FORBES,2871,-33.375616,148.003498
NSW,1-GPPT-643,Independent Bendemeer,independent bendemeer,"19 Havannah Street, Bendemeer NSW 2355",BENDEMEER,2355,-30.880784,151.158337
NSW,1-GPPT-644,BP Murwillumbah,bp murwillumbah,"216 Tweed Valley Way, Murwillumbah NSW 2484",MURWILLUMBAH,2484,-28.327218,153.408174
NSW,1-GPPT-645,Independent Tintenbar,independent tintenbar,"6 George Sreet, Tintenbar NSW 2478",TINTENBAR,2478,-28.797109,153.512549
NSW,1-GPPT-646,APW,apw,"449 Great Western Highway, WENTWORTHVILLE NSW 2145",WENTWORTHVILLE,2145,-33.813328,150.95825
NSW,1-GPPT-65,Ampol Tuggerah,ampol tuggerah,"2 Johnson Road, Tuggerah NSW 2259",TUGGERAH,2259,-33.294326,151.421068
NSW,1-GPPT-653,BP Merrylands West,bp merrylands west,"65 Kenyons Road, Merrylands West NSW 2160",MERRYLANDS WEST,2160,-33.836829,150.968399
NSW,1-GPPT-655,BP Macquarie Fields,bp macquarie fields,"72 Harold St, Macquarie Fields NSW 2564",MACQUARIE FIELDS,2564,-33.985109,150.893446
NSW,1-GPPT-66,Ampol Bega,ampol bega,"277 Newtown Road, Bega NSW 2550",BEGA,2550,-36.690413,149.839653
NSW,1-GPPT-666,Avondale Auto Centre,avondale auto centre,"677 Freemans Drive, Cooranbong NSW 2265",COORANBONG,2265,-33.069657,151.463666
NSW,1-GPPT-667,BP Greenfield Park,bp greenfield park,"1 Greenfield Rd, Greenfield Park NSW 2176",GREENFIELD PARK,2176,-33.871916,150.889605
NSW,1-GPPT-668,BP Lake Munmorah,bp lake munmorah,"335 Pacific Highway, Lake Munmorah NSW 2259",LAKE MUNMORAH,2259,-33.190117,151.567872
NSW,1-GPPT-67,Ampol Cooma,ampol cooma,"41 SHARP ST, COOMA NSW 2630",COOMA,2630,-36.2323683,149.13070739
NSW,1-GPPT-675,Ampol Elermore Vale,ampol elermore vale,"52 Cardiff Road, Elermore Vale NSW 2287",ELERMORE VALE,2287,-32.914543,151.672747
NSW,1-GPPT-676,Independent Mirrabooka,independent mirrabooka,"69 Fishery Point Road, Mirrabooka NSW 2264",MIRRABOOKA,2264,-33.10654,151.553235
NSW,1-GPPT-677,Tamarang Servicentre,tamarang servicentre,"115 Station Street, Quirindi NSW 2343",QUIRINDI,2343,-31.501747,150.68102
NSW,1-GPPT-684,BP Cabramatta West,bp cabramatta west,"208-212 Cabramatta Rd, Cabramatta West NSW 2166",CABRAMATTA WEST,2166,-33.895888,150.936403
NSW,1-GPPT-685,BP Bexley North,bp bexley north,"369C Bexley Road, Bexley NSW 2207",BEXLEY,2207,-33.945827,151.12302
NSW,1-GPPT-686,Harry's Fuel,harry's fuel,"31-35 Unwins Bridge, Sydenham NSW 2044",SYDENHAM,2044,-33.914718,151.168451
NSW,1-GPPT-687,BP Mars,bp mars,"196 The River Road, Revesby NSW 2212",REVESBY,2212,-33.95581,151.016589
NSW,1-GPPT-688,Your Local Independent Servo,your local independent servo,"2 Kew Road, Laurieton NSW 2443",LAURIETON,2443,-31.647949,152.796382
NSW,1-GPPT-69,Budget Petrol,budget petrol,"143 Concord Rd, North Strathfield NSW 2137",NORTH STRATHFIELD,2137,-33.859435,151.09272
NSW,1-GPPT-690,Independent Lalor Park,independent lalor park,"Lot 8 Comercial Road, Lalor Park NSW 2147",LALOR PARK,2147,-33.76283,150.930822
NSW,1-GPPT-693,EJ Stop N Save,ej stop n save,"9 Davies Rd, Padstow NSW 2211",PADSTOW,2211,-33.947202,151.037156
NSW,1-GPPT-695,Independent Bundarra,independent bundarra,"25 Bendemeer St, Bundarra NSW 2359",BUNDARRA,2359,-30.17107,151.075681
NSW,1-GPPT-697,Petersens Garage,petersens garage,"2 Erith St, Bundanoon NSW 2578",BUNDANOON,2578,-34.655966,150.297509
NSW,1-GPPT-699,Independent Paterson,independent paterson,"38 Maitland Road, Paterson NSW 2421",PATERSON,2421,-32.604948,151.616328
NSW,1-GPPT-7,BP Sans Souci,bp sans souci,"518 Rocky Point Road, Sans Souci NSW 2219",SANS SOUCI,2219,-33.992469,151.132408
NSW,1-GPPT-700,Golden Apple Super Store,golden apple super store,"2637 Irrigation Way, Leeton NSW 2705",LEETON,2637,-34.574208,146.411677
NSW,1-GPPT-703,Liberty Doonside,liberty doonside,"13-15 Doonside Rd, Doonside NSW 2767",DOONSIDE,2767,-33.765383,150.869643
NSW,1-GPPT-704,BP Whitebridge,bp whitebridge,"170 Dudley Road, Whitebridge NSW 2290",WHITEBRIDGE,2290,-32.981448,151.711883
NSW,1-GPPT-705,Ampol Bourke (Self-Serve),ampol bourke (self-serve),"82-86 Anson St, Bourke NSW 2840",BOURKE,2840,-30.095007,145.94144
NSW,1-GPPT-708,BP Darlington Point Truck Stop,bp darlington point truck stop,"7 Sturt Highway, DARLINGTON POINT NSW 2706",DARLINGTON POINT,2706,-34.593806,145.992521
NSW,1-GPPT-711,Speedway Bass Hill,speedway bass hill,"972 Hume Highway, Bass Hill NSW 2197",BASS HILL,2197,-33.896169,150.991302
NSW,1-GPPT-713,Caltex Prestons,caltex prestons,"370 HOXTON PARK RD, PRESTONS NSW 2170",PRESTONS,2170,-33.92832755,150.88133286
NSW,1-GPPT-715,Independent Tibooburra,independent tibooburra,"1 Silver City Highway, Tibooburra NSW 2880",TIBOOBURRA,2880,-29.436276,142.010131
NSW,1-GPPT-716,Metro Fuel Alexandria,metro fuel alexandria,"36 Henderson Road, Alexandria NSW 2015",ALEXANDRIA,2015,-33.897447,151.197261
NSW,1-GPPT-718,Metro Fuel Abermain,metro fuel abermain,"289 Cessnock Road, Abermain NSW 2326",ABERMAIN,2326,-32.811157,151.425998
